Timestamp,RL_Signal,Close,Cash,Holdings,Portfolio_RL
2015-10-18 00:00:00+05:30,1,234.9,74.45000000000073,23,5477.150000000001
2015-10-19 00:00:00+05:30,-1,234.9,5477.150000000001,0,5477.150000000001
2015-10-20 00:00:00+05:30,1,234.05,94.0,23,5477.150000000001
2015-10-21 00:00:00+05:30,-1,232.5,5441.5,0,5441.5
2015-10-22 00:00:00+05:30,1,238.9,185.69999999999982,22,5441.5
2015-10-23 00:00:00+05:30,1,238.9,185.69999999999982,22,5441.5
2015-10-24 00:00:00+05:30,1,234.0,185.69999999999982,22,5333.7
2015-10-25 00:00:00+05:30,1,234.0,185.69999999999982,22,5333.7
2015-10-26 00:00:00+05:30,1,234.0,185.69999999999982,22,5333.7
2015-10-27 00:00:00+05:30,1,230.0,185.69999999999982,22,5245.7
2015-10-28 00:00:00+05:30,1,235.0,185.69999999999982,22,5355.7
2015-10-29 00:00:00+05:30,-1,233.5,5322.7,0,5322.7
2015-10-30 00:00:00+05:30,1,233.5,185.69999999999982,22,5322.7
2015-10-31 00:00:00+05:30,1,228.0,185.69999999999982,22,5201.7
2015-11-01 00:00:00+05:30,-1,228.0,5201.7,0,5201.7
2015-11-02 00:00:00+05:30,-1,228.0,5201.7,0,5201.7
2015-11-03 00:00:00+05:30,-1,258.0,5201.7,0,5201.7
2015-11-04 00:00:00+05:30,-1,256.0,5201.7,0,5201.7
2015-11-05 00:00:00+05:30,1,260.1,259.7999999999993,19,5201.7
2015-11-06 00:00:00+05:30,1,251.7,8.099999999999284,20,5042.099999999999
2015-11-07 00:00:00+05:30,1,257.0,8.099999999999284,20,5148.099999999999
2015-11-08 00:00:00+05:30,1,257.0,8.099999999999284,20,5148.099999999999
2015-11-09 00:00:00+05:30,1,257.0,8.099999999999284,20,5148.099999999999
2015-11-10 00:00:00+05:30,1,254.0,8.099999999999284,20,5088.099999999999
2015-11-11 00:00:00+05:30,1,242.25,8.099999999999284,20,4853.099999999999
2015-11-12 00:00:00+05:30,1,242.35,8.099999999999284,20,4855.099999999999
2015-11-13 00:00:00+05:30,1,242.35,8.099999999999284,20,4855.099999999999
2015-11-14 00:00:00+05:30,1,254.4,8.099999999999284,20,5096.099999999999
2015-11-15 00:00:00+05:30,-1,254.4,5096.099999999999,0,5096.099999999999
2015-11-16 00:00:00+05:30,1,254.4,8.099999999999454,20,5096.099999999999
2015-11-17 00:00:00+05:30,-1,255.95,5127.099999999999,0,5127.099999999999
2015-11-18 00:00:00+05:30,1,257.1,242.1999999999989,19,5127.099999999999
2015-11-19 00:00:00+05:30,1,258.6,242.1999999999989,19,5155.599999999999
2015-11-20 00:00:00+05:30,1,254.35,242.1999999999989,19,5074.8499999999985
2015-11-21 00:00:00+05:30,-1,255.0,5087.199999999999,0,5087.199999999999
2015-11-22 00:00:00+05:30,1,255.0,242.1999999999989,19,5087.199999999999
2015-11-23 00:00:00+05:30,1,255.0,242.1999999999989,19,5087.199999999999
2015-11-24 00:00:00+05:30,-1,259.8,5178.399999999999,0,5178.399999999999
2015-11-25 00:00:00+05:30,1,275.0,228.39999999999873,18,5178.399999999999
2015-11-26 00:00:00+05:30,1,275.0,228.39999999999873,18,5178.399999999999
2015-11-27 00:00:00+05:30,1,281.1,228.39999999999873,18,5288.199999999999
2015-11-28 00:00:00+05:30,-1,271.1,5108.199999999999,0,5108.199999999999
2015-11-29 00:00:00+05:30,1,271.1,228.39999999999873,18,5108.199999999999
2015-11-30 00:00:00+05:30,1,271.1,228.39999999999873,18,5108.199999999999
2015-12-01 00:00:00+05:30,1,293.0,228.39999999999873,18,5502.399999999999
2015-12-02 00:00:00+05:30,-1,287.3,5399.799999999999,0,5399.799999999999
2015-12-03 00:00:00+05:30,1,319.0,295.7999999999993,16,5399.799999999999
2015-12-04 00:00:00+05:30,1,306.75,295.7999999999993,16,5203.799999999999
2015-12-05 00:00:00+05:30,1,313.0,295.7999999999993,16,5303.799999999999
2015-12-06 00:00:00+05:30,1,313.0,295.7999999999993,16,5303.799999999999
2015-12-07 00:00:00+05:30,-1,313.0,5303.799999999999,0,5303.799999999999
2015-12-08 00:00:00+05:30,1,309.9,35.5,17,5303.799999999999
2015-12-09 00:00:00+05:30,1,307.85,35.5,17,5268.950000000001
2015-12-10 00:00:00+05:30,1,286.0,35.5,17,4897.5
2015-12-11 00:00:00+05:30,1,288.0,35.5,17,4931.5
2015-12-12 00:00:00+05:30,1,292.95,35.5,17,5015.65
2015-12-13 00:00:00+05:30,1,292.95,35.5,17,5015.65
2015-12-14 00:00:00+05:30,1,292.95,35.5,17,5015.65
2015-12-15 00:00:00+05:30,1,291.1,35.5,17,4984.200000000001
2015-12-16 00:00:00+05:30,1,290.0,35.5,17,4965.5
2015-12-17 00:00:00+05:30,1,295.0,35.5,17,5050.5
2015-12-18 00:00:00+05:30,1,293.0,35.5,17,5016.5
2015-12-19 00:00:00+05:30,1,295.8,35.5,17,5064.1
2015-12-20 00:00:00+05:30,1,295.8,35.5,17,5064.1
2015-12-21 00:00:00+05:30,1,295.8,35.5,17,5064.1
2015-12-22 00:00:00+05:30,1,293.5,35.5,17,5025.0
2015-12-23 00:00:00+05:30,1,290.5,35.5,17,4974.0
2015-12-24 00:00:00+05:30,1,300.0,35.5,17,5135.5
2015-12-25 00:00:00+05:30,1,293.35,35.5,17,5022.450000000001
2015-12-26 00:00:00+05:30,1,293.35,35.5,17,5022.450000000001
2015-12-27 00:00:00+05:30,-1,293.35,5022.450000000001,0,5022.450000000001
2015-12-28 00:00:00+05:30,1,293.35,35.5,17,5022.450000000001
2015-12-29 00:00:00+05:30,1,290.0,35.5,17,4965.5
2015-12-30 00:00:00+05:30,1,288.0,35.5,17,4931.5
2015-12-31 00:00:00+05:30,1,290.0,35.5,17,4965.5
2016-01-01 00:00:00+05:30,1,300.0,35.5,17,5135.5
2016-01-02 00:00:00+05:30,1,300.0,35.5,17,5135.5
2016-01-03 00:00:00+05:30,1,300.0,35.5,17,5135.5
2016-01-04 00:00:00+05:30,-1,300.0,5135.5,0,5135.5
2016-01-05 00:00:00+05:30,1,296.0,103.5,17,5135.5
2016-01-06 00:00:00+05:30,1,300.0,103.5,17,5203.5
2016-01-07 00:00:00+05:30,-1,303.05,5255.35,0,5255.35
2016-01-08 00:00:00+05:30,1,292.8,277.75,17,5255.35
2016-01-09 00:00:00+05:30,1,295.85,277.75,17,5307.200000000001
2016-01-10 00:00:00+05:30,1,295.85,277.75,17,5307.200000000001
2016-01-11 00:00:00+05:30,-1,295.85,5307.200000000001,0,5307.200000000001
2016-01-12 00:00:00+05:30,1,303.2,152.8000000000011,17,5307.200000000001
2016-01-13 00:00:00+05:30,1,296.0,152.8000000000011,17,5184.800000000001
2016-01-14 00:00:00+05:30,1,285.0,152.8000000000011,17,4997.800000000001
2016-01-15 00:00:00+05:30,1,277.0,152.8000000000011,17,4861.800000000001
2016-01-16 00:00:00+05:30,1,274.9,152.8000000000011,17,4826.1
2016-01-17 00:00:00+05:30,-1,274.9,4826.1,0,4826.1
2016-01-18 00:00:00+05:30,1,274.9,152.8000000000011,17,4826.1
2016-01-19 00:00:00+05:30,1,251.0,152.8000000000011,17,4419.800000000001
2016-01-20 00:00:00+05:30,1,254.05,152.8000000000011,17,4471.6500000000015
2016-01-21 00:00:00+05:30,-1,242.3,4271.9000000000015,0,4271.9000000000015
2016-01-22 00:00:00+05:30,1,246.1,88.20000000000164,17,4271.9000000000015
2016-01-23 00:00:00+05:30,1,257.0,88.20000000000164,17,4457.200000000002
2016-01-24 00:00:00+05:30,1,257.0,88.20000000000164,17,4457.200000000002
